Sell_to_Customer_Name,DOMAIN,Shortcut_Dimension_Code,City,Customer_ID,TOTAL,SUM_TOTAL,Description,Currency_Code,Quantity,Unit_Price,Size,Gen_ Bus_ Posting Group,Document_Type,Order_Date_Year,Order_Date_M&Y,Global_Dimension_Code,Gen_ Bus_ Posting_Group,Gen_Prod_ Posting_Group
Ringardas Nigeria Limited,Oil and Gas Sector,Others,ABUJA,00115,243887010.2,0,AD Audit Plus,NGN,1,3075490,Small Quanity,DOMESTIC,1,2022,Aug-90,MS-NAV,DOMESTIC,SOFTWARE
Ringardas Nigeria Limited,Oil and Gas Sector,Others,ABUJA,00115,243887010.2,0,SSL Certificate for Active Directory,NGN,3,77380,Small Quanity,DOMESTIC,1,2022,Sep-90,MS-NAV,DOMESTIC,SOFTWARE
Ringardas Nigeria Limited,Oil and Gas Sector,Others,ABUJA,00115,243887010.2,0,Microsoft 365 Business License,USD,195,950400,Large Quantity,DOMESTIC,0,2023,Oct-90,MS-NAV,DOMESTIC,SOFTWARE
Ringardas Nigeria Limited,Oil and Gas Sector,Others,ABUJA,00115,243887010.2,0,Microsoft Power BI premium,USD,15,864000,Small Quanity,DOMESTIC,0,2023,Nov-90,MS-NAV,DOMESTIC,SOFTWARE
Ringardas Nigeria Limited,Oil and Gas Sector,Others,ABUJA,00115,243887010.2,0,Microsoft Exchange,USD,2,172800,Small Quanity,DOMESTIC,0,2023,Dec-90,MS-NAV,DOMESTIC,SOFTWARE
Ringardas Nigeria Limited,Oil and Gas Sector,MS-OFF,ABUJA,00115,243887010.2,0,Sophos XG 430 XTREAM,NGN,3,16203362.4,Small Quanity,DOMESTIC,0,2023,Jan-91,MS-NAV,DOMESTIC,SOFTWARE
Ringardas Nigeria Limited,Oil and Gas Sector,MS-OFF,ABUJA,00115,243887010.2,0,Email Protection,NGN,3,2430699.26,Small Quanity,DOMESTIC,0,2023,Feb-91,MS-NAV,DOMESTIC,SOFTWARE
Ringardas Nigeria Limited,Oil and Gas Sector,Others,ABUJA,00115,243887010.2,0,Azure Active Directory,USD,20,72,Large Quantity,DOMESTIC,0,2022,Mar-91,MS-NAV,DOMESTIC,SOFTWARE
Ringardas Nigeria Limited,Oil and Gas Sector,Others,ABUJA,00115,243887010.2,0,AD Audit Plus,USD,1,4213,Small Quanity,DOMESTIC,0,2022,Apr-91,MS-NAV,DOMESTIC,SOFTWARE
Ringardas Nigeria Limited,Oil and Gas Sector,Others,ABUJA,00115,243887010.2,0,SSL Certificate for Active Directory,USD,3,106,Small Quanity,DOMESTIC,0,2022,May-91,MS-NAV,DOMESTIC,SOFTWARE
Ringardas Nigeria Limited,Oil and Gas Sector,Others,ABUJA,00115,243887010.2,243887010.2,Azure Service bus components,USD,1,17874.78,Small Quanity,DOMESTIC,0,2022,Jun-91,MS-NAV,DOMESTIC,SOFTWARE
Literamed Publications,Media and Entertainment Sector,Others,LAGOS,00081,2349.44,2349.44,One Year Business Ready Enhancement Plan,USD,1,2349.44,Small Quanity,DOMESTIC,0,2019,Jul-91,MS-NAV,DOMESTIC,SOFTWARE
HAYAT KIMYAT NIG. LTD,"Consumer Goods, Manufacturing, and Distribution Sector",MS-NAV,LAGOS,00110,648911.6,648911.6,MS Dynamics NAV License Enhancement,NGN,1,648911.6,Small Quanity,DOMESTIC,0,2020,Aug-91,MS-NAV,DOMESTIC,SOFTWARE
LiveSpot 360,Media and Entertainment Sector,Others,LAGOS,00197,1548488.13,0,Customer Engagement,USD,5,1380,Small Quanity,DOMESTIC,0,2019,Sep-91,MS-NAV,DOMESTIC,SOFTWARE
